Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score
2/27/22,Allianz Football League Roinn 3,Louth,1,15,Westmeath,1,13,18,16
2/27/22,Allianz Football League Roinn 3,Longford,1,10,Fermanagh,3,11,13,20
2/27/22,Allianz Football League Roinn 4,London,1,6,Wexford,0,11,9,11
2/27/22,Allianz Football League Roinn 4,Cavan,0,19,Carlow,1,12,19,15
2/27/22,Allianz Football League Roinn 4,Waterford,1,13,Leitrim,2,17,16,23
3/5/22,Allianz Football League Roinn 3,Westmeath,0,10,Longford,0,14,10,14
3/5/22,Allianz Football League Roinn 3,Fermanagh,3,15,Laois,3,9,24,18
3/6/22,Allianz Football League Roinn 2,Galway,2,17,Offaly,3,10,23,19
3/6/22,Allianz Football League Roinn 4,Sligo,0,10,Cavan,1,13,10,16
3/6/22,Allianz Football League Roinn 4,Wexford,0,15,Tipperary,4,4,15,16
3/12/22,Allianz Football League Roinn 1,Armagh,1,12,Kildare,0,10,15,10
3/12/22,Allianz Football League Roinn 1,Kerry,1,12,Mayo,0,14,15,14
3/12/22,Allianz Football League Roinn 2,Down,0,14,Offaly,0,15,14,15
3/12/22,Allianz Football League Roinn 3,Antrim,1,19,Longford,0,12,22,12
3/12/22,Allianz Football League Roinn 3,Limerick,1,6,Westmeath,1,12,9,15
3/13/22,Allianz Football League Roinn 1,Donegal,0,10,Monaghan,1,12,10,15
3/13/22,Allianz Football League Roinn 1,Tyrone,0,8,Dublin,0,13,8,13
3/13/22,Allianz Football League Roinn 2,Roscommon,0,12,Derry,0,12,12,12
3/13/22,Allianz Football League Roinn 2,Meath,1,18,Cork,1,10,21,13
3/13/22,Allianz Football League Roinn 2,Galway,2,8,Clare,1,5,14,8
3/13/22,Allianz Football League Roinn 3,Wicklow,0,8,Laois,1,17,8,20
3/13/22,Allianz Football League Roinn 3,Fermanagh,0,14,Louth,2,12,14,18
3/13/22,Allianz Football League Roinn 4,Sligo,3,19,London,0,10,28,10
3/13/22,Allianz Football League Roinn 4,Carlow,1,10,Leitrim,2,14,13,20
3/13/22,Allianz Football League Roinn 4,Wexford,0,15,Waterford,0,14,15,14
3/13/22,Allianz Football League Roinn 4,Cavan,1,7,Tipperary,1,11,10,14
3/19/22,Allianz Football League Roinn 1,Tyrone,0,11,Mayo,0,9,11,9
3/19/22,Allianz Football League Roinn 3,Laois,0,14,Limerick,0,15,14,15
3/20/22,Allianz Football League Roinn 1,Armagh,0,13,Kerry,1,13,13,16
3/20/22,Allianz Football League Roinn 1,Kildare,0,24,Monaghan,1,12,24,15
3/20/22,Allianz Football League Roinn 1,Dublin,2,15,Donegal,2,11,21,17
3/20/22,Allianz Football League Roinn 2,Cork,1,16,Down,1,12,19,15
3/20/22,Allianz Football League Roinn 2,Derry,0,12,Galway,4,11,12,23
3/20/22,Allianz Football League Roinn 2,Offaly,0,14,Roscommon,2,18,14,24
3/20/22,Allianz Football League Roinn 2,Clare,0,9,Meath,0,10,9,10
3/20/22,Allianz Football League Roinn 3,Louth,1,12,Antrim,1,8,15,11
3/20/22,Allianz Football League Roinn 3,Westmeath,1,9,Fermanagh,0,12,12,12
3/20/22,Allianz Football League Roinn 3,Longford,2,13,Wicklow,0,20,19,20
3/20/22,Allianz Football League Roinn 4,London,2,11,Cavan,1,15,17,18
3/20/22,Allianz Football League Roinn 4,Waterford,1,11,Sligo,0,15,14,15
3/20/22,Allianz Football League Roinn 4,Leitrim,3,9,Wexford,1,11,18,14
3/20/22,Allianz Football League Roinn 4,Tipperary,2,16,Carlow,0,11,22,11
3/26/22,Allianz Football League Roinn 4,Carlow,0,14,Wexford,1,11,14,14
3/26/22,Allianz Football League Roinn 4,Cavan,3,21,Waterford,0,10,30,10
3/26/22,Allianz Football League Roinn 4,Tipperary,1,14,London,0,12,17,12
3/27/22,Allianz Football League Roinn 1,Monaghan,3,13,Dublin,1,18,22,21
3/27/22,Allianz Football League Roinn 1,Donegal,1,14,Armagh,1,13,17,16
3/27/22,Allianz Football League Roinn 1,Kerry,2,11,Tyrone,1,15,17,18
3/27/22,Allianz Football League Roinn 1,Mayo,2,20,Kildare,0,18,26,18
3/27/22,Allianz Football League Roinn 2,Down,1,9,Clare,2,14,12,20
3/27/22,Allianz Football League Roinn 2,Roscommon,1,20,Galway,1,15,23,18
3/27/22,Allianz Football League Roinn 2,Offaly,1,20,Cork,1,21,23,24
3/27/22,Allianz Football League Roinn 2,Meath,2,11,Derry,1,16,17,19
3/27/22,Allianz Football League Roinn 3,Antrim,0,12,Westmeath,1,13,12,16
3/27/22,Allianz Football League Roinn 3,Limerick,1,16,Fermanagh,0,14,19,14
3/27/22,Allianz Football League Roinn 3,Laois,1,13,Longford,2,17,16,23
3/27/22,Allianz Football League Roinn 3,Wicklow,1,13,Louth,2,17,16,23
3/27/22,Allianz Football League Roinn 4,Sligo,2,16,Leitrim,2,10,22,16
4/2/22,Allianz Football League Roinn 3,Louth,1,14,Limerick,0,12,17,12
4/2/22,Allianz Football League Roinn 4,Cavan,2,10,Tipperary,0,15,16,15
4/3/22,Allianz Football League Roinn 1,Kerry,3,19,Mayo,0,13,28,13
4/3/22,Allianz Football League Roinn 1,Roscommon,1,20,Galway,0,22,23,22
4/16/22,Ulster GAA Football Senior Championship,Fermanagh,2,10,Tyrone,2,17,16,23
4/17/22,Connacht GAA Football Senior Championship,London,2,11,Leitrim,3,12,17,21
4/17/22,Connacht GAA Football Senior Championship,New_york,0,15,Sligo,1,16,15,19
4/23/22,Ulster GAA Football Senior Championship,Antrim,0,10,Cavan,1,20,10,23
4/24/22,Connacht GAA Football Senior Championship,Mayo,0,16,Galway,1,14,16,17
4/24/22,Leinster GAA Football Senior Championship,Louth,5,10,Carlow,0,10,25,10
4/24/22,Leinster GAA Football Senior Championship,Wexford,1,15,Offaly,1,12,18,15
4/24/22,Leinster GAA Football Senior Championship,Wicklow,5,15,Laois,4,12,30,24
4/24/22,Ulster GAA Football Senior Championship,Donegal,1,16,Armagh,0,12,19,12
4/30/22,Connacht GAA Football Senior Championship,Sligo,0,11,Roscommon,0,23,11,23
4/30/22,Leinster GAA Football Senior Championship,Westmeath,3,13,Longford,0,14,22,14
4/30/22,Leinster GAA Football Senior Championship,Wexford,0,4,Dublin,1,24,4,27
4/30/22,Munster GAA Football Senior Championship,Clare,1,19,Limerick,2,16,22,22
4/30/22,Munster GAA Football Senior Championship,Waterford,1,8,Tipperary,2,13,11,19
4/30/22,Ulster GAA Football Senior Championship,Monaghan,0,23,Down,2,7,23,13
5/1/22,Leinster GAA Football Senior Championship,Meath,4,13,Wicklow,1,12,25,15
5/1/22,Leinster GAA Football Senior Championship,Kildare,2,22,Louth,0,12,28,12
5/1/22,Ulster GAA Football Senior Championship,Tyrone,0,10,Derry,1,18,10,21
5/7/22,Munster GAA Football Senior Championship,Cork,0,11,Kerry,0,23,11,23
5/8/22,Connacht GAA Football Senior Championship,Galway,4,20,Leitrim,0,9,32,9
5/8/22,Ulster GAA Football Senior Championship,Cavan,0,16,Donegal,2,16,16,22
